date,sales,profit,region,state,category,type,caffeination
1/1/2010,120,13,Central,WI,Coffee,Amaretto,Regular
1/1/2010,190,9,Central,WI,Coffee,Columbian,Regular
1/1/2010,180,51,Central,WI,Coffee,Decaf Irish Cream,Decaf
1/1/2010,180,7,Central,WI,Tea,Earl Grey,Regular
1/1/2010,110,34,Central,WI,Espresso,Decaf Espresso,Decaf
1/1/2010,150,38,Central,WI,Espresso,Caffe Mocha,Regular
1/1/2010,180,70,Central,WI,Herbal Tea,Chamomile,Decaf
1/1/2010,81,28,Central,WI,Herbal Tea,Lemon,Decaf
1/1/2010,150,47,Central,WI,Tea,Darjeeling,Regular
1/1/2010,123,47,East,CT,Tea,Darjeeling,Regular
1/1/2010,94,35,East,CT,Tea,Green Tea,Regular
1/1/2010,130,30,East,CT,Espresso,Decaf Espresso,Decaf
1/1/2010,180,7,East,CT,Espresso,Caffe Mocha,Regular
1/1/2010,310,115,East,CT,Coffee,Columbian,Regular
1/1/2010,190,40,East,CT,Herbal Tea,Lemon,Decaf
1/1/2010,170,47,East,CT,Herbal Tea,Mint,Decaf
1/1/2010,80,28,East,FL,Tea,Darjeeling,Regular
1/1/2010,81,28,East,FL,Tea,Green Tea,Regular
1/1/2010,180,50,East,FL,Espresso,Decaf Espresso,Decaf
1/1/2010,190,9,East,FL,Espresso,Caffe Mocha,Regular
1/1/2010,200,67,East,FL,Coffee,Decaf Irish Cream,Decaf
1/1/2010,210,68,East,FL,Coffee,Columbian,Regular
1/1/2010,110,34,East,FL,Herbal Tea,Chamomile,Decaf
1/1/2010,120,13,East,FL,Herbal Tea,Lemon,Decaf
1/1/2010,150,39,East,FL,Herbal Tea,Mint,Decaf
1/1/2010,80,29,East,MA,Tea,Darjeeling,Regular
1/1/2010,80,29,East,MA,Tea,Green Tea,Regular
1/1/2010,341,100,East,MA,Espresso,Regular Espresso,Regular
1/1/2010,126,23,East,MA,Espresso,Caffe Mocha,Regular
1/1/2010,494,367,East,MA,Coffee,Columbian,Regular
1/1/2010,130,17,East,MA,Herbal Tea,Lemon,Decaf
1/1/2010,45,10,East,NH,Tea,Darjeeling,Regular
1/1/2010,43,11,East,NH,Tea,Green Tea,Regular
1/1/2010,65,8,East,NH,Espresso,Regular Espresso,Regular
1/1/2010,90,10,East,NH,Espresso,Caffe Mocha,Regular
1/1/2010,93,20,East,NH,Coffee,Amaretto,Regular
1/1/2010,120,25,East,NH,Coffee,Columbian,Regular
1/1/2010,76,4,East,NH,Herbal Tea,Lemon,Decaf
1/1/2010,234,101,East,NY,Tea,Darjeeling,Regular
1/1/2010,219,94,East,NY,Tea,Earl Grey,Regular
1/1/2010,134,54,East,NY,Tea,Green Tea,Regular
1/1/2010,490,175,East,NY,Espresso,Regular Espresso,Regular
1/1/2010,61,172,East,NY,Espresso,Caffe Mocha,Regular
1/1/2010,678,262,East,NY,Coffee,Columbian,Regular
1/1/2010,483,111,East,NY,Herbal Tea,Lemon,Decaf
1/1/2010,180,113,East,NY,Herbal Tea,Mint,Decaf
1/1/2010,180,70,South,LA,Espresso,Caffe Mocha,Regular
1/1/2010,150,48,South,LA,Espresso,Decaf Espresso,Decaf
1/1/2010,112,35,South,LA,Herbal Tea,Chamomile,Decaf
1/1/2010,190,40,South,LA,Herbal Tea,Lemon,Decaf
1/1/2010,180,8,South,LA,Espresso,Caffe Latte,Regular
1/1/2010,85,30,South,LA,Coffee,Columbian,Regular
1/1/2010,81,28,South,LA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,90,10,South,NM,Espresso,Caffe Mocha,Regular
1/1/2010,82,9,South,NM,Espresso,Decaf Espresso,Decaf
1/1/2010,45,11,South,NM,Herbal Tea,Chamomile,Decaf
1/1/2010,62,4,South,NM,Herbal Tea,Lemon,Decaf
1/1/2010,65,8,South,NM,Espresso,Caffe Latte,Regular
1/1/2010,120,26,South,NM,Coffee,Columbian,Regular
1/1/2010,99,39,South,NM,Coffee,Decaf Irish Cream,Decaf
1/1/2010,80,28,South,OK,Espresso,Caffe Mocha,Regular
1/1/2010,210,67,South,OK,Espresso,Decaf Espresso,Decaf
1/1/2010,120,13,South,OK,Herbal Tea,Chamomile,Decaf
1/1/2010,190,10,South,OK,Herbal Tea,Lemon,Decaf
1/1/2010,200,66,South,OK,Espresso,Caffe Latte,Regular
1/1/2010,100,29,South,OK,Coffee,Columbian,Regular
1/1/2010,80,28,South,OK,Coffee,Decaf Irish Cream,Decaf
1/1/2010,219,95,South,TX,Espresso,Caffe Mocha,Regular
1/1/2010,134,54,South,TX,Espresso,Decaf Espresso,Decaf
1/1/2010,140,33,South,TX,Herbal Tea,Chamomile,Decaf
1/1/2010,140,42,South,TX,Herbal Tea,Lemon,Decaf
1/1/2010,180,53,South,TX,Espresso,Caffe Latte,Regular
1/1/2010,452,159,South,TX,Coffee,Columbian,Regular
1/1/2010,190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
1/1/2010,114,44,West,UT,Espresso,Caffe Latte,Regular
1/1/2010,112,34,West,UT,Espresso,Caffe Mocha,Regular
1/1/2010,123,47,West,UT,Espresso,Decaf Espresso,Decaf
1/1/2010,93,21,West,UT,Herbal Tea,Chamomile,Decaf
1/1/2010,120,25,West,UT,Herbal Tea,Lemon,Decaf
1/1/2010,99,40,West,UT,Herbal Tea,Mint,Decaf
1/1/2010,90,10,West,UT,Tea,Darjeeling,Regular
1/1/2010,82,9,West,UT,Tea,Earl Grey,Regular
1/1/2010,65,9,West,UT,Tea,Green Tea,Regular
1/1/2010,170,47,West,UT,Coffee,Amaretto,Regular
1/1/2010,130,30,West,UT,Coffee,Columbian,Regular
1/1/2010,190,39,West,UT,Coffee,Decaf Irish Cream,Decaf
1/1/2010,456,140,West,CA,Espresso,Caffe Latte,Regular
1/1/2010,250,17,West,CA,Espresso,Caffe Mocha,Regular
1/1/2010,546,203,West,CA,Espresso,Decaf Espresso,Decaf
1/1/2010,234,102,West,CA,Herbal Tea,Chamomile,Decaf
1/1/2010,452,160,West,CA,Herbal Tea,Lemon,Decaf
1/1/2010,190,67,West,CA,Herbal Tea,Mint,Decaf
1/1/2010,219,94,West,CA,Tea,Darjeeling,Regular
1/1/2010,134,54,West,CA,Tea,Earl Grey,Regular
1/1/2010,180,54,West,CA,Tea,Green Tea,Regular
1/1/2010,145,2,West,CA,Coffee,Amaretto,Regular
1/1/2010,678,262,West,CA,Coffee,Columbian,Regular
1/1/2010,118,117,West,CA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,43,11,West,NV,Espresso,Caffe Latte,Regular
1/1/2010,45,10,West,NV,Espresso,Caffe Mocha,Regular
1/1/2010,43,11,West,NV,Espresso,Decaf Espresso,Decaf
1/1/2010,62,4,West,NV,Coffee,Decaf Irish Cream,Decaf
1/1/2010,250,16,West,NV,Herbal Tea,Chamomile,Decaf
1/1/2010,345,111,West,NV,Herbal Tea,Lemon,Decaf
1/1/2010,234,86,West,NV,Herbal Tea,Mint,Decaf
1/1/2010,546,203,West,NV,Tea,Darjeeling,Regular
1/1/2010,456,141,West,NV,Tea,Earl Grey,Regular
1/1/2010,17,354,West,NV,Tea,Green Tea,Regular
1/1/2010,76,3,West,NV,Coffee,Columbian,Regular
1/1/2010,130,16,West,OR,Espresso,Caffe Latte,Regular
1/1/2010,140,33,West,OR,Espresso,Caffe Mocha,Regular
1/1/2010,341,99,West,OR,Espresso,Decaf Espresso,Decaf
1/1/2010,140,42,West,OR,Coffee,Decaf Irish Cream,Decaf
1/1/2010,90,33,West,OR,Herbal Tea,Chamomile,Decaf
1/1/2010,100,29,West,OR,Herbal Tea,Lemon,Decaf
1/1/2010,80,28,West,OR,Tea,Darjeeling,Regular
1/1/2010,210,68,West,OR,Tea,Earl Grey,Regular
1/1/2010,200,67,West,OR,Tea,Green Tea,Regular
1/1/2010,150,1,West,OR,Coffee,Amaretto,Regular
1/1/2010,160,28,West,OR,Coffee,Columbian,Regular
1/1/2010,110,35,West,WA,Espresso,Caffe Latte,Regular
1/1/2010,120,13,West,WA,Espresso,Caffe Mocha,Regular
1/1/2010,150,39,West,WA,Espresso,Decaf Espresso,Decaf
1/1/2010,190,9,West,WA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,310,115,West,WA,Herbal Tea,Chamomile,Decaf
1/1/2010,85,30,West,WA,Herbal Tea,Lemon,Decaf
1/1/2010,180,70,West,WA,Tea,Darjeeling,Regular
1/1/2010,150,48,West,WA,Tea,Earl Grey,Regular
1/1/2010,180,8,West,WA,Tea,Green Tea,Regular
1/1/2010,130,38,West,WA,Coffee,Columbian,Regular
2/1/2010,243,105,Central,CO,Coffee,Amaretto,Regular
2/1/2010,190,68,Central,CO,Coffee,Columbian,Regular
2/1/2010,232,99,Central,CO,Coffee,Decaf Irish Cream,Decaf
2/1/2010,100,30,Central,CO,Tea,Green Tea,Regular
2/1/2010,189,80,Central,CO,Espresso,Caffe Mocha,Regular
2/1/2010,189,59,Central,CO,Espresso,Decaf Espresso,Decaf
2/1/2010,340,99,Central,CO,Herbal Tea,Chamomile,Decaf
2/1/2010,129,3,Central,CO,Herbal Tea,Lemon,Decaf
2/1/2010,140,33,Central,CO,Herbal Tea,Mint,Decaf
2/1/2010,132,18,Central,CO,Tea,Darjeeling,Regular
2/1/2010,136,34,Central,CO,Tea,Earl Grey,Regular
2/1/2010,354,115,Central,IL,Coffee,Columbian,Regular
2/1/2010,254,95,Central,IL,Coffee,Decaf Irish Cream,Decaf
2/1/2010,545,201,Central,IL,Espresso,Caffe Mocha,Regular
2/1/2010,457,142,Central,IL,Espresso,Decaf Espresso,Decaf
2/1/2010,243,105,Central,IL,Herbal Tea,Chamomile,Decaf
2/1/2010,190,68,Central,IL,Herbal Tea,Lemon,Decaf
2/1/2010,232,99,Central,IL,Herbal Tea,Mint,Decaf
2/1/2010,189,79,Central,IL,Tea,Darjeeling,Regular
2/1/2010,189,59,Central,IL,Tea,Earl Grey,Regular
2/1/2010,45,10,Central,IA,Coffee,Amaretto,Regular
2/1/2010,63,6,Central,IA,Coffee,Columbian,Regular
2/1/2010,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,47,11,Central,IA,Espresso,Caffe Mocha,Regular
2/1/2010,43,32,Central,IA,Espresso,Decaf Espresso,Decaf
2/1/2010,545,201,Central,IA,Herbal Tea,Chamomile,Decaf
2/1/2010,254,95,Central,IA,Herbal Tea,Lemon,Decaf
2/1/2010,457,141,Central,IA,Tea,Darjeeling,Regular
2/1/2010,534,169,Central,IA,Tea,Earl Grey,Regular
2/1/2010,193,42,Central,MO,Coffee,Columbian,Regular
2/1/2010,165,46,Central,MO,Coffee,Decaf Irish Cream,Decaf
2/1/2010,74,4,Central,MO,Tea,Green Tea,Regular
2/1/2010,123,48,Central,MO,Espresso,Caffe Mocha,Regular
2/1/2010,103,38,Central,MO,Espresso,Decaf Espresso,Decaf
2/1/2010,104,8,Central,MO,Herbal Tea,Chamomile,Decaf
2/1/2010,102,32,Central,MO,Herbal Tea,Lemon,Decaf
2/1/2010,82,9,Central,MO,Tea,Darjeeling,Regular
2/1/2010,68,7,Central,MO,Tea,Earl Grey,Regular
2/1/2010,140,33,Central,OH,Coffee,Amaretto,Regular
2/1/2010,128,38,Central,OH,Coffee,Columbian,Regular
2/1/2010,129,3,Central,OH,Coffee,Decaf Irish Cream,Decaf
2/1/2010,200,62,Central,OH,Tea,Darjeeling,Regular
2/1/2010,206,71,Central,OH,Tea,Earl Grey,Regular
2/1/2010,132,18,Central,OH,Espresso,Decaf Espresso,Decaf
2/1/2010,340,98,Central,OH,Espresso,Caffe Mocha,Regular
2/1/2010,56,17,Central,OH,Herbal Tea,Chamomile,Decaf
2/1/2010,80,28,Central,OH,Herbal Tea,Lemon,Decaf
2/1/2010,118,12,Central,WI,Coffee,Amaretto,Regular
2/1/2010,220,15,Central,WI,Coffee,Columbian,Regular
2/1/2010,180,50,Central,WI,Coffee,Decaf Irish Cream,Decaf
2/1/2010,137,41,Central,WI,Tea,Darjeeling,Regular
2/1/2010,155,3,Central,WI,Tea,Earl Grey,Regular
2/1/2010,110,35,Central,WI,Espresso,Decaf Espresso,Decaf
2/1/2010,154,42,Central,WI,Espresso,Caffe Mocha,Regular
2/1/2010,174,66,Central,WI,Herbal Tea,Chamomile,Decaf
2/1/2010,115,43,Central,WI,Herbal Tea,Lemon,Decaf
2/1/2010,123,48,East,CT,Tea,Darjeeling,Regular
2/1/2010,66,21,East,CT,Tea,Green Tea,Regular
2/1/2010,130,29,East,CT,Espresso,Decaf Espresso,Decaf
2/1/2010,155,3,East,CT,Espresso,Caffe Mocha,Regular
2/1/2010,325,121,East,CT,Coffee,Columbian,Regular
2/1/2010,193,41,East,CT,Herbal Tea,Lemon,Decaf
2/1/2010,165,46,East,CT,Herbal Tea,Mint,Decaf
2/1/2010,80,28,East,FL,Tea,Darjeeling,Regular
2/1/2010,115,44,East,FL,Tea,Green Tea,Regular
2/1/2010,180,51,East,FL,Espresso,Decaf Espresso,Decaf
2/1/2010,220,16,East,FL,Espresso,Caffe Mocha,Regular
2/1/2010,206,71,East,FL,Coffee,Decaf Irish Cream,Decaf
2/1/2010,200,63,East,FL,Coffee,Columbian,Regular
2/1/2010,110,34,East,FL,Herbal Tea,Chamomile,Decaf
2/1/2010,118,12,East,FL,Herbal Tea,Lemon,Decaf
2/1/2010,154,42,East,FL,Herbal Tea,Mint,Decaf
2/1/2010,80,28,East,MA,Tea,Darjeeling,Regular
2/1/2010,56,17,East,MA,Tea,Green Tea,Regular
2/1/2010,340,99,East,MA,Espresso,Regular Espresso,Regular
2/1/2010,128,4,East,MA,Espresso,Caffe Mocha,Regular
2/1/2010,470,340,East,MA,Coffee,Columbian,Regular
2/1/2010,132,18,East,MA,Herbal Tea,Lemon,Decaf
2/1/2010,45,11,East,NH,Tea,Darjeeling,Regular
2/1/2010,43,32,East,NH,Tea,Green Tea,Regular
2/1/2010,68,6,East,NH,Espresso,Regular Espresso,Regular
2/1/2010,104,7,East,NH,Espresso,Caffe Mocha,Regular
2/1/2010,101,25,East,NH,Coffee,Amaretto,Regular
2/1/2010,114,23,East,NH,Coffee,Columbian,Regular
2/1/2010,74,4,East,NH,Herbal Tea,Lemon,Decaf
2/1/2010,232,100,East,NY,Tea,Darjeeling,Regular
2/1/2010,243,105,East,NY,Tea,Earl Grey,Regular
2/1/2010,189,79,East,NY,Tea,Green Tea,Regular
2/1/2010,580,264,East,NY,Espresso,Regular Espresso,Regular
2/1/2010,61,203,East,NY,Espresso,Caffe Mocha,Regular
2/1/2010,645,245,East,NY,Coffee,Columbian,Regular
2/1/2010,495,131,East,NY,Herbal Tea,Lemon,Decaf
2/1/2010,180,120,East,NY,Herbal Tea,Mint,Decaf
2/1/2010,174,65,South,LA,Espresso,Caffe Mocha,Regular
2/1/2010,137,41,South,LA,Espresso,Decaf Espresso,Decaf
2/1/2010,112,35,South,LA,Herbal Tea,Chamomile,Decaf
2/1/2010,193,42,South,LA,Herbal Tea,Lemon,Decaf
2/1/2010,155,2,South,LA,Espresso,Caffe Latte,Regular
2/1/2010,94,34,South,LA,Coffee,Columbian,Regular
2/1/2010,115,44,South,LA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,104,7,South,NM,Espresso,Caffe Mocha,Regular
2/1/2010,82,8,South,NM,Espresso,Decaf Espresso,Decaf
2/1/2010,45,10,South,NM,Herbal Tea,Chamomile,Decaf
2/1/2010,63,5,South,NM,Herbal Tea,Lemon,Decaf
2/1/2010,68,7,South,NM,Espresso,Caffe Latte,Regular
2/1/2010,114,24,South,NM,Coffee,Columbian,Regular
2/1/2010,102,31,South,NM,Coffee,Decaf Irish Cream,Decaf
2/1/2010,206,70,South,OK,Espresso,Caffe Latte,Regular
2/1/2010,56,17,South,OK,Espresso,Caffe Mocha,Regular
2/1/2010,200,63,South,OK,Espresso,Decaf Espresso,Decaf
2/1/2010,118,11,South,OK,Herbal Tea,Chamomile,Decaf
2/1/2010,220,15,South,OK,Herbal Tea,Lemon,Decaf
2/1/2010,100,29,South,OK,Coffee,Columbian,Regular
2/1/2010,80,29,South,OK,Coffee,Decaf Irish Cream,Decaf
2/1/2010,189,58,South,TX,Espresso,Caffe Latte,Regular
2/1/2010,243,106,South,TX,Espresso,Caffe Mocha,Regular
2/1/2010,189,80,South,TX,Espresso,Decaf Espresso,Decaf
2/1/2010,140,33,South,TX,Herbal Tea,Chamomile,Decaf
2/1/2010,128,38,South,TX,Herbal Tea,Lemon,Decaf
2/1/2010,465,164,South,TX,Coffee,Columbian,Regular
2/1/2010,190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
2/1/2010,103,38,West,UT,Espresso,Caffe Latte,Regular
2/1/2010,112,35,West,UT,Espresso,Caffe Mocha,Regular
2/1/2010,123,48,West,UT,Espresso,Decaf Espresso,Decaf
2/1/2010,101,24,West,UT,Herbal Tea,Chamomile,Decaf
2/1/2010,114,24,West,UT,Herbal Tea,Lemon,Decaf
2/1/2010,102,31,West,UT,Herbal Tea,Mint,Decaf
2/1/2010,104,7,West,UT,Tea,Darjeeling,Regular
2/1/2010,82,9,West,UT,Tea,Earl Grey,Regular
2/1/2010,68,6,West,UT,Tea,Green Tea,Regular
2/1/2010,165,46,West,UT,Coffee,Amaretto,Regular
2/1/2010,130,30,West,UT,Coffee,Columbian,Regular
2/1/2010,193,41,West,UT,Coffee,Decaf Irish Cream,Decaf
2/1/2010,457,142,West,CA,Espresso,Caffe Latte,Regular
2/1/2010,290,26,West,CA,Espresso,Caffe Mocha,Regular
2/1/2010,545,202,West,CA,Espresso,Decaf Espresso,Decaf
2/1/2010,232,100,West,CA,Herbal Tea,Chamomile,Decaf
2/1/2010,465,164,West,CA,Herbal Tea,Lemon,Decaf
2/1/2010,190,68,West,CA,Herbal Tea,Mint,Decaf
2/1/2010,243,106,West,CA,Tea,Darjeeling,Regular
2/1/2010,189,80,West,CA,Tea,Earl Grey,Regular
2/1/2010,189,58,West,CA,Tea,Green Tea,Regular
2/1/2010,132,27,West,CA,Coffee,Amaretto,Regular
2/1/2010,645,245,West,CA,Coffee,Columbian,Regular
2/1/2010,122,117,West,CA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,43,31,West,NV,Espresso,Caffe Latte,Regular
2/1/2010,45,10,West,NV,Espresso,Caffe Mocha,Regular
2/1/2010,47,11,West,NV,Espresso,Decaf Espresso,Decaf
2/1/2010,63,6,West,NV,Coffee,Decaf Irish Cream,Decaf
2/1/2010,290,26,West,NV,Herbal Tea,Chamomile,Decaf
2/1/2010,354,115,West,NV,Herbal Tea,Lemon,Decaf
2/1/2010,254,94,West,NV,Herbal Tea,Mint,Decaf
2/1/2010,545,202,West,NV,Tea,Darjeeling,Regular
2/1/2010,457,142,West,NV,Tea,Earl Grey,Regular
2/1/2010,23,342,West,NV,Tea,Green Tea,Regular
2/1/2010,74,5,West,NV,Coffee,Columbian,Regular
2/1/2010,132,18,West,OR,Espresso,Caffe Latte,Regular
2/1/2010,140,33,West,OR,Espresso,Caffe Mocha,Regular
2/1/2010,340,99,West,OR,Espresso,Decaf Espresso,Decaf
2/1/2010,128,38,West,OR,Coffee,Decaf Irish Cream,Decaf
2/1/2010,81,28,West,OR,Herbal Tea,Chamomile,Decaf
2/1/2010,100,30,West,OR,Herbal Tea,Lemon,Decaf
2/1/2010,56,17,West,OR,Tea,Darjeeling,Regular
2/1/2010,200,62,West,OR,Tea,Earl Grey,Regular
2/1/2010,206,71,West,OR,Tea,Green Tea,Regular
2/1/2010,129,4,West,OR,Coffee,Amaretto,Regular
2/1/2010,155,25,West,OR,Coffee,Columbian,Regular
2/1/2010,110,35,West,WA,Espresso,Caffe Latte,Regular
2/1/2010,118,12,West,WA,Espresso,Caffe Mocha,Regular
2/1/2010,154,41,West,WA,Espresso,Decaf Espresso,Decaf
2/1/2010,220,15,West,WA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,325,121,West,WA,Herbal Tea,Chamomile,Decaf
2/1/2010,94,34,West,WA,Herbal Tea,Lemon,Decaf
2/1/2010,174,66,West,WA,Tea,Darjeeling,Regular
2/1/2010,137,41,West,WA,Tea,Earl Grey,Regular
2/1/2010,155,3,West,WA,Tea,Green Tea,Regular
2/1/2010,142,44,West,WA,Coffee,Columbian,Regular
3/1/2010,213,90,Central,CO,Coffee,Amaretto,Regular
3/1/2010,193,69,Central,CO,Coffee,Columbian,Regular
3/1/2010,234,101,Central,CO,Coffee,Decaf Irish Cream,Decaf
3/1/2010,98,29,Central,CO,Tea,Green Tea,Regular
3/1/2010,198,84,Central,CO,Espresso,Caffe Mocha,Regular
3/1/2010,180,54,Central,CO,Espresso,Decaf Espresso,Decaf
3/1/2010,325,94,Central,CO,Herbal Tea,Chamomile,Decaf
3/1/2010,125,4,Central,CO,Herbal Tea,Lemon,Decaf
3/1/2010,134,31,Central,CO,Herbal Tea,Mint,Decaf
3/1/2010,129,16,Central,CO,Tea,Darjeeling,Regular
3/1/2010,135,32,Central,CO,Tea,Earl Grey,Regular
3/1/2010,367,119,Central,IL,Coffee,Columbian,Regular
3/1/2010,267,102,Central,IL,Coffee,Decaf Irish Cream,Decaf
3/1/2010,567,211,Central,IL,Espresso,Caffe Mocha,Regular
3/1/2010,478,148,Central,IL,Espresso,Decaf Espresso,Decaf
3/1/2010,213,91,Central,IL,Herbal Tea,Chamomile,Decaf
3/1/2010,193,70,Central,IL,Herbal Tea,Lemon,Decaf
3/1/2010,234,102,Central,IL,Herbal Tea,Mint,Decaf
3/1/2010,198,84,Central,IL,Tea,Darjeeling,Regular
3/1/2010,180,53,Central,IL,Tea,Earl Grey,Regular
3/1/2010,45,10,Central,IA,Coffee,Amaretto,Regular
3/1/2010,63,6,Central,IA,Coffee,Columbian,Regular
3/1/2010,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
3/1/2010,41,9,Central,IA,Espresso,Caffe Mocha,Regular
3/1/2010,43,32,Central,IA,Espresso,Decaf Espresso,Decaf
3/1/2010,567,212,Central,IA,Herbal Tea,Chamomile,Decaf
3/1/2010,267,102,Central,IA,Herbal Tea,Lemon,Decaf
3/1/2010,478,148,Central,IA,Tea,Darjeeling,Regular
3/1/2010,546,175,Central,IA,Tea,Earl Grey,Regular
3/1/2010,189,39,Central,MO,Coffee,Columbian,Regular
3/1/2010,163,45,Central,MO,Coffee,Decaf Irish Cream,Decaf
3/1/2010,75,4,Central,MO,Tea,Green Tea,Regular
3/1/2010,121,47,Central,MO,Espresso,Caffe Mocha,Regular
3/1/2010,118,45,Central,MO,Espresso,Decaf Espresso,Decaf
3/1/2010,107,6,Central,MO,Herbal Tea,Chamomile,Decaf
3/1/2010,106,32,Central,MO,Herbal Tea,Lemon,Decaf
3/1/2010,85,11,Central,MO,Tea,Darjeeling,Regular
3/1/2010,75,3,Central,MO,Tea,Earl Grey,Regular
3/1/2010,134,32,Central,OH,Coffee,Amaretto,Regular
3/1/2010,121,35,Central,OH,Coffee,Columbian,Regular
3/1/2010,125,4,Central,OH,Coffee,Decaf Irish Cream,Decaf
3/1/2010,210,68,Central,OH,Tea,Darjeeling,Regular
3/1/2010,214,74,Central,OH,Tea,Earl Grey,Regular
3/1/2010,129,15,Central,OH,Espresso,Decaf Espresso,Decaf
3/1/2010,325,94,Central,OH,Espresso,Caffe Mocha,Regular
3/1/2010,53,15,Central,OH,Herbal Tea,Chamomile,Decaf
3/1/2010,79,28,Central,OH,Herbal Tea,Lemon,Decaf
3/1/2010,120,13,Central,WI,Coffee,Amaretto,Regular
3/1/2010,227,17,Central,WI,Coffee,Columbian,Regular
3/1/2010,188,55,Central,WI,Coffee,Decaf Irish Cream,Decaf
3/1/2010,129,38,Central,WI,Tea,Darjeeling,Regular
3/1/2010,150,1,Central,WI,Tea,Earl Grey,Regular
3/1/2010,112,34,Central,WI,Espresso,Decaf Espresso,Decaf
3/1/2010,155,41,Central,WI,Espresso,Caffe Mocha,Regular
3/1/2010,167,63,Central,WI,Herbal Tea,Chamomile,Decaf
3/1/2010,121,47,Central,WI,Herbal Tea,Lemon,Decaf
3/1/2010,121,47,East,CT,Tea,Darjeeling,Regular
3/1/2010,62,18,East,CT,Tea,Green Tea,Regular
3/1/2010,124,26,East,CT,Espresso,Decaf Espresso,Decaf
3/1/2010,150,0,East,CT,Espresso,Caffe Mocha,Regular
3/1/2010,309,114,East,CT,Coffee,Columbian,Regular
3/1/2010,189,39,East,CT,Herbal Tea,Lemon,Decaf
3/1/2010,163,46,East,CT,Herbal Tea,Mint,Decaf
